,parameter_name,experiment_id,metabolite_id,mic_id,enzyme_id,phos_enz_id,drain_id,value
6,conc_unbalanced,dataset_1,,cyst-L_c,,,,0.0022453
7,conc_unbalanced,dataset_2,,cyst-L_c,,,,0.00248061
8,conc_unbalanced,dataset_1,,dmgly_c,,,,0.0586235
9,conc_unbalanced,dataset_2,,dmgly_c,,,,0.0580073
10,conc_unbalanced,dataset_1,,gly_c,,,,1.46579
11,conc_unbalanced,dataset_2,,gly_c,,,,1.37496
12,conc_unbalanced,dataset_1,,glyb_c,,,,2.07501
13,conc_unbalanced,dataset_2,,glyb_c,,,,1.30949
14,conc_unbalanced,dataset_1,,mga_c,,,,0.900556
15,conc_unbalanced,dataset_2,,mga_c,,,,0.788751
16,conc_unbalanced,dataset_1,,mlthf_c,,,,0.00331272
17,conc_unbalanced,dataset_2,,mlthf_c,,,,0.00324384
18,conc_unbalanced,dataset_1,,nadp_c,,,,0.00120475
19,conc_unbalanced,dataset_2,,nadp_c,,,,0.00120776
20,conc_unbalanced,dataset_1,,nadph_c,,,,0.23933
21,conc_unbalanced,dataset_2,,nadph_c,,,,0.239678
22,conc_unbalanced,dataset_1,,pi_c,,,,1.03714
23,conc_unbalanced,dataset_2,,pi_c,,,,0.955827
24,conc_unbalanced,dataset_1,,ppi_c,,,,0.361268
25,conc_unbalanced,dataset_2,,ppi_c,,,,0.629323
26,conc_unbalanced,dataset_1,,sarcs_c,,,,0.000124857
27,conc_unbalanced,dataset_2,,sarcs_c,,,,5.5988e-05
28,conc_unbalanced,dataset_1,,ser-L_c,,,,1.62668
29,conc_unbalanced,dataset_2,,ser-L_c,,,,1.57562
30,conc_unbalanced,dataset_1,,thf_c,,,,0.0231951
31,conc_unbalanced,dataset_2,,thf_c,,,,0.0230954
0,conc_enzyme,dataset_1,,,AHC1,,,0.964984
1,conc_enzyme,dataset_2,,,AHC1,,,1.01569
2,conc_enzyme,dataset_1,,,BHMT1,,,0.977343
3,conc_enzyme,dataset_2,,,BHMT1,,,1.04767
4,conc_enzyme,dataset_1,,,CBS1,,,1.46851
5,conc_enzyme,dataset_2,,,CBS1,,,0.983729
6,conc_enzyme,dataset_1,,,GNMT1,,,0.984971
7,conc_enzyme,dataset_2,,,GNMT1,,,1.00486
8,conc_enzyme,dataset_1,,,MAT1,,,0.987411
9,conc_enzyme,dataset_2,,,MAT1,,,1.02733
10,conc_enzyme,dataset_1,,,MAT3,,,1.00206
11,conc_enzyme,dataset_2,,,MAT3,,,0.988125
12,conc_enzyme,dataset_1,,,METH_Gen,,,1.01768
13,conc_enzyme,dataset_2,,,METH_Gen,,,0.969053
14,conc_enzyme,dataset_1,,,MS1,,,0.971745
15,conc_enzyme,dataset_2,,,MS1,,,0.991701
16,conc_enzyme,dataset_1,,,MTHFR1,,,0.973681
17,conc_enzyme,dataset_2,,,MTHFR1,,,1.04199
0,dgf,,5mthf,,,,,1104.12
1,dgf,,adn,,,,,329.204
2,dgf,,ahcys,,,,,477.634
3,dgf,,amet,,,,,1362.49
4,dgf,,atp,,,,,-246.229
5,dgf,,cmga,,,,,880.521
6,dgf,,cyst-L,,,,,64.8056
7,dgf,,dmgly,,,,,28.1517
8,dgf,,gly,,,,,139.61
9,dgf,,glyb,,,,,500.095
10,dgf,,hcys-L,,,,,9.46934
11,dgf,,met-L,,,,,498.013
12,dgf,,mga,,,,,0.246319
13,dgf,,mlthf,,,,,1059.07
14,dgf,,nadp,,,,,585.899
15,dgf,,nadph,,,,,650.775
16,dgf,,pi,,,,,-427.933
17,dgf,,ppi,,,,,-841.701
18,dgf,,sarcs,,,,,1048.08
19,dgf,,ser-L,,,,,234.697
20,dgf,,thf,,,,,617.931
